playerA,PlayerB,who_win,Aset1,Aset2,Aset3,Aset4,Aset5,Bset1,Bset2,Bset3,Bset4,Bset5,Exact Number of Sets,Total Points,First Game Winner,Sets Decided by Extra Points
345226,345227,1,6,11,3,11,15,11,7,11,9,17,5,101,1,1
345228,345229,0,11,6,11,11,14,8,11,13,5,12,5,102,0,2
345230,345231,1,11,7,11,9,-,8,11,13,11,-,4,81,0,1
344202,345229,0,11,6,4,11,11,8,11,11,9,6,5,88,0,0
345226,345231,1,8,12,8,-,-,11,14,11,-,-,3,64,1,1
345230,345227,1,9,9,5,-,-,11,11,11,-,-,3,56,1,0
345228,345225,0,11,11,9,13,11,9,13,11,11,7,5,106,0,2
345226,345230,1,6,19,7,-,-,11,21,11,-,-,3,75,1,1
344202,345228,0,11,11,11,11,-,9,8,13,9,-,4,83,0,1
345231,345227,0,11,4,11,16,-,9,11,7,14,-,4,83,0,1
345229,345225,0,12,11,6,15,-,10,9,11,13,-,4,87,0,2
345227,345226,1,5,11,11,8,7,11,5,4,11,11,5,84,1,0
345225,344202,0,11,11,4,11,-,8,8,11,6,-,4,70,0,0
345231,345230,1,7,14,11,11,12,11,16,2,6,14,5,104,1,2
345229,345228,0,11,11,11,-,-,6,3,6,-,-,3,48,0,0
345231,345226,0,11,11,14,-,-,8,9,12,-,-,3,65,0,1
345229,344202,0,12,8,11,11,-,10,11,9,5,-,4,77,0,1
345227,345230,1,5,6,11,12,6,11,11,7,10,11,5,90,1,1
345225,345228,0,11,9,11,11,-,8,11,7,6,-,4,74,0,0
345158,345159,1,10,4,6,-,-,12,11,11,-,-,3,54,1,1
345232,343949,0,6,12,2,11,11,11,10,11,7,9,5,90,1,1
343485,344426,1,5,8,7,-,-,11,11,11,-,-,3,53,1,0
344427,343600,1,4,5,11,7,-,11,11,9,11,-,4,69,1,0
345234,343828,0,7,11,11,11,-,11,6,8,3,-,4,68,1,0
343693,345235,1,10,4,9,-,-,12,11,11,-,-,3,57,1,1
343944,343948,0,3,11,16,11,-,11,9,14,8,-,4,83,1,1
345234,345235,1,11,8,6,4,-,6,11,11,11,-,4,68,0,0
343948,343828,1,11,10,7,4,-,5,12,11,11,-,4,71,0,1
343693,343944,1,8,9,11,6,-,11,11,8,11,-,4,75,1,0
345234,343948,1,11,9,6,6,-,9,11,11,11,-,4,74,0,0
343944,345235,0,11,11,11,-,-,8,2,5,-,-,3,48,0,0
343693,343828,0,11,13,8,10,11,9,11,11,12,9,5,105,0,2
345234,343944,1,14,5,8,9,-,12,11,11,11,-,4,81,0,1
343693,343948,1,9,6,8,-,-,11,11,11,-,-,3,56,1,0
345235,343828,1,6,7,8,-,-,11,11,11,-,-,3,54,1,0
345230,345226,0,11,12,9,11,11,7,14,11,9,9,5,104,0,1
345228,344202,1,14,8,2,7,-,12,11,11,11,-,4,76,0,1
345227,345231,1,11,11,4,8,-,13,7,11,11,-,4,76,1,1
345225,345229,0,11,11,13,11,-,13,8,11,1,-,4,79,1,2
344110,344258,0,11,7,11,11,-,4,11,5,8,-,4,68,0,0
344108,344109,0,12,7,13,8,11,10,11,11,11,9,5,103,0,2
344110,344109,1,13,9,12,-,-,15,11,14,-,-,3,74,1,2
344108,344258,0,11,14,11,-,-,9,12,8,-,-,3,65,0,1
344110,344108,1,4,11,9,8,-,11,5,11,11,-,4,70,1,0
343944,343828,1,9,9,11,7,-,11,11,8,11,-,4,77,1,0
345234,343693,0,11,11,7,11,11,8,7,11,13,7,5,97,0,1
343948,345235,1,11,9,7,9,-,4,11,11,11,-,4,73,0,0
344109,344258,0,9,11,14,11,-,11,6,12,9,-,4,83,1,1
344258,344110,0,11,5,13,10,13,8,11,11,12,11,5,105,0,3
344109,344108,0,9,11,11,12,11,11,6,8,14,6,5,99,1,1
344109,344110,0,11,9,13,6,11,4,11,11,11,6,5,93,0,1
